priority,match_type,pattern,category,subcategory,discretionary
"30","keyword","TST COASTER SALOON","Food and Drink","Alcohol","Yes"
"30","keyword","TST GLITCH BAR","Food and Drink","Alcohol","Yes"
"30","keyword","TST MUSIC BOX","Food and Drink","Alcohol","Yes"
"30","keyword","TST TAPSTER - SEATTLE","Food and Drink","Alcohol","Yes"
"30","keyword","DOORDASH","Food and Drink","Delivery","Yes"
"30","keyword","GRUBHUB","Food and Drink","Delivery","Yes"
"30","keyword","UBER EATS","Food and Drink","Delivery","Yes"
"30","keyword","PENGUIN YOGURT FACTORY","Food and Drink","Dessert","Yes"
"30","keyword","SQ SOMISOMI","Food and Drink","Dessert","Yes"
"30","keyword","TST SALT AND STRAW - UTC","Food and Drink","Dessert","Yes"
"30","keyword","BENGONGS TEA","Food and Drink","Drinks","Yes"
"30","keyword","TEA MONKS","Food and Drink","Drinks","Yes"
"30","keyword","DUNKIN","Food and Drink","Drinks","Yes"
"30","keyword","KRISPY KREME","Food and Drink","Drinks","Yes"
"30","keyword","STARBUCKS","Food and Drink","Drinks","Yes"
"30","keyword","5GUYS","Food and Drink","Fast Casual","Yes"
"30","keyword","BLUE NILE","Food and Drink","Fast Casual","Yes"
"30","keyword","CAZADORES MEXICAN FOOD","Food and Drink","Fast Casual","Yes"
"30","keyword","COTIJAS MEXICAN FOOD","Food and Drink","Fast Casual","Yes"
"30","keyword","ESTRADAS MEXICAN FOOD","Food and Drink","Fast Casual","Yes"
"30","keyword","FAT GUYS","Food and Drink","Fast Casual","Yes"
"30","keyword","LUNA GRILL","Food and Drink","Fast Casual","Yes"
"30","keyword","MAWAZO KITCHEN","Food and Drink","Fast Casual","Yes"
"30","keyword","MAYURI FOODS INTERNATION","Food and Drink","Fast Casual","Yes"
"30","keyword","OGGI`S SPORTS BREWHOUSE","Food and Drink","Fast Casual","Yes"
"30","keyword","OLIVE GARDEN","Food and Drink","Fast Casual","Yes"
"30","keyword","QDOBA","Food and Drink","Fast Casual","Yes"
"30","keyword","RAKACHAKA GRILL &AMP; MAS","Food and Drink","Fast Casual","Yes"
"30","keyword","TST LOCAL FLAVOR BRANSON","Food and Drink","Fast Casual","Yes"
"30","keyword","TST T.I.T.T.S. CHICKEN","Food and Drink","Fast Casual","Yes"
"30","keyword","TST TACO STAND LA JOLLA","Food and Drink","Fast Casual","Yes"
"30","keyword","TST WET WILLIES - SOUTH","Food and Drink","Fast Casual","Yes"
"30","keyword","JAMBA","Food and Drink","Fast Casual","Yes"
"30","keyword","PANERA","Food and Drink","Fast Casual","Yes"
"30","keyword","SMOOTHIE KING","Food and Drink","Fast Casual","Yes"
"30","keyword","JACKINTHEBOX","Food and Drink","Fast Food","Yes"
"30","keyword","LAKES MARKET AND DELI","Food and Drink","Fast Food","Yes"
"30","keyword","MARY'S DONUTS SANTEE","Food and Drink","Fast Food","Yes"
"30","keyword","SBARRO","Food and Drink","Fast Food","Yes"
"30","keyword","WIENERSCHNITZEL","Food and Drink","Fast Food","Yes"
"30","keyword","WWW.RAISE- .COM","Food and Drink","Fast Food","Yes"
"30","keyword","ARBY","Food and Drink","Fast Food","Yes"
